epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.8787,1.15309,1.82633,1.17604,0.92254,0.86695,0.94394,0.62971,1.04621,1.71043,1.08068,0.00066,0.00066,0.00066
2,17.2314,1.08907,1.22314,1.12071,0.95794,0.92704,0.97487,0.68648,0.94664,0.96628,1.11068,0.0013201,0.0013201,0.0013201
3,24.7617,1.09746,1.05847,1.15859,0.96648,0.90987,0.97367,0.70386,0.9509,0.86247,1.13967,0.0019736,0.0019736,0.0019736
4,32.2116,1.04198,0.91623,1.1202,0.86805,0.82833,0.89863,0.60708,1.1397,0.99795,1.17162,0.0019703,0.0019703,0.0019703
5,39.8873,1.03791,0.81488,1.12012,0.94853,0.9491,0.98043,0.72755,0.93686,0.62408,1.10066,0.0019604,0.0019604,0.0019604
6,47.333,1.00021,0.73574,1.10798,0.98302,0.92704,0.96831,0.72891,0.8873,0.58726,1.0394,0.0019505,0.0019505,0.0019505
7,54.6882,0.97255,0.70606,1.09434,0.94329,0.92799,0.98183,0.75756,0.86834,0.57758,1.02759,0.0019406,0.0019406,0.0019406
8,61.9426,0.93664,0.66287,1.07013,0.93372,0.95708,0.98722,0.77907,0.79262,0.51365,1.01572,0.0019307,0.0019307,0.0019307
9,68.9433,0.89823,0.64264,1.06057,0.98657,0.99142,0.99466,0.75944,0.86713,0.54617,1.0399,0.0019208,0.0019208,0.0019208
10,76.2349,0.91324,0.6041,1.06949,0.96424,0.91416,0.96934,0.76827,0.78333,0.55768,1.02188,0.0019109,0.0019109,0.0019109
11,83.5952,0.92752,0.61172,1.07006,0.96166,0.96889,0.9908,0.76534,0.82854,0.50355,0.99665,0.001901,0.001901,0.001901
12,90.9702,0.87712,0.58024,1.04113,0.9621,0.96567,0.9903,0.7895,0.77251,0.45846,0.99165,0.0018911,0.0018911,0.0018911
13,98.4324,0.84892,0.55303,1.04345,0.96931,0.94883,0.98842,0.76301,0.81729,0.48191,1.01344,0.0018812,0.0018812,0.0018812
14,105.961,0.83227,0.55856,1.03701,0.98652,0.95708,0.99255,0.79493,0.72804,0.46301,0.98899,0.0018713,0.0018713,0.0018713
15,113.374,0.82689,0.55207,1.03724,0.9742,0.97241,0.9932,0.76528,0.83898,0.4553,1.04973,0.0018614,0.0018614,0.0018614
16,120.815,0.82616,0.53255,1.02581,0.98309,0.99793,0.99457,0.82603,0.67782,0.40784,0.95612,0.0018515,0.0018515,0.0018515
17,128.383,0.8229,0.51175,1.02177,0.97418,0.97171,0.99266,0.80972,0.72496,0.42708,0.98255,0.0018416,0.0018416,0.0018416
18,135.65,0.83061,0.50202,1.0353,1,0.95113,0.99156,0.80584,0.72252,0.41364,0.99069,0.0018317,0.0018317,0.0018317
19,142.789,0.82362,0.5205,1.03396,0.98588,0.98283,0.99387,0.81025,0.71273,0.40732,0.97507,0.0018218,0.0018218,0.0018218
20,149.924,0.77648,0.5035,1.01249,0.99141,0.99119,0.99452,0.83972,0.63848,0.36761,0.92771,0.0018119,0.0018119,0.0018119
21,157.309,0.80125,0.49239,1.00806,1,0.97272,0.99466,0.81357,0.70017,0.37831,0.97087,0.001802,0.001802,0.001802
22,164.663,0.79373,0.49122,1.01982,0.98422,0.98283,0.99466,0.82533,0.6659,0.38096,0.96191,0.0017921,0.0017921,0.0017921
23,171.667,0.75311,0.46134,0.9987,0.99131,0.98283,0.99462,0.84649,0.63857,0.36563,0.93644,0.0017822,0.0017822,0.0017822
24,178.916,0.73636,0.44628,0.983,0.9928,0.97425,0.99365,0.84114,0.6321,0.35296,0.92145,0.0017723,0.0017723,0.0017723
25,186.359,0.74858,0.45714,0.99196,0.98696,0.98283,0.99453,0.84587,0.61391,0.35398,0.92195,0.0017624,0.0017624,0.0017624
26,193.949,0.73765,0.45511,0.98962,0.99128,0.9758,0.99385,0.82815,0.66864,0.34783,0.96678,0.0017525,0.0017525,0.0017525
27,201.511,0.72365,0.434,0.9848,0.98301,0.9932,0.99452,0.82733,0.66898,0.34846,0.94577,0.0017426,0.0017426,0.0017426
28,208.899,0.72985,0.45547,0.99301,1,0.9903,0.995,0.84374,0.63448,0.34857,0.93079,0.0017327,0.0017327,0.0017327
29,216.473,0.71475,0.44881,0.9763,1,0.98194,0.99496,0.86704,0.58374,0.32752,0.90397,0.0017228,0.0017228,0.0017228
30,223.857,0.73532,0.46685,0.99922,0.99951,0.98283,0.99362,0.83712,0.63239,0.36627,0.94057,0.0017129,0.0017129,0.0017129
